city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kabul,34.5253,69.1783,Afghanistan,AF,Kābul,primary,4273156,4273156
Kandahār,31.6200,65.7158,Afghanistan,AF,Kandahār,admin,614254,614254
Herāt,34.3419,62.2031,Afghanistan,AF,Herāt,admin,556205,556205
Farāh,32.3436,62.1194,Afghanistan,AF,Farāh,admin,500000,54000
Mazār-e Sharīf,36.7000,67.1167,Afghanistan,AF,Balkh,admin,469247,469247
Lashkar Gāh,31.5831,64.3692,Afghanistan,AF,Helmand,admin,276831,201546
Kunduz,36.7286,68.8681,Afghanistan,AF,Kunduz,admin,268893,268893
Tāluqān,36.7167,69.5167,Afghanistan,AF,Takhār,admin,263800,263800
Jalālābād,34.4342,70.4478,Afghanistan,AF,Nangarhār,admin,263312,263312
Shibirghān,36.6650,65.7520,Afghanistan,AF,Jowzjān,admin,175599,175599
Zaranj,30.9600,61.8600,Afghanistan,AF,Nīmrōz,admin,160902,49851
Khōst,33.3331,69.9169,Afghanistan,AF,Khōst,admin,160214,160214
Maīmanah,35.9333,64.7500,Afghanistan,AF,Fāryāb,admin,149040,100650
Mehtar Lām,34.6683,70.2089,Afghanistan,AF,Laghmān,admin,144162,144162
Ghaznī,33.5492,68.4233,Afghanistan,AF,Ghaznī,admin,143379,143379
Paghmān,34.5833,68.9500,Afghanistan,AF,Kābul,,143000,143000
Pul-e Khumrī,35.9500,68.7000,Afghanistan,AF,Baghlān,admin,113500,113500
Bāmyān,34.8250,67.8333,Afghanistan,AF,Bāmyān,admin,100000,100000
Chārīkār,35.0131,69.1689,Afghanistan,AF,Parwān,admin,96093,96093
Tarīn Kōṯ,32.6267,65.8733,Afghanistan,AF,Uruzgān,admin,71604,71604
Gardēz,33.6000,69.2169,Afghanistan,AF,Paktiyā,admin,70641,70000
Faīẕābād,37.1166,70.5800,Afghanistan,AF,Badakhshān,admin,64704,64704
Qal‘ah-ye Now,34.9867,63.1292,Afghanistan,AF,Bādghīs,admin,64125,5340
Sar-e Pul,36.2214,65.9278,Afghanistan,AF,Sar-e Pul,admin,51075,51075
Maḩmūd-e Rāqī,35.0206,69.3306,Afghanistan,AF,Kāpīsā,admin,50490,7407
Qalāt,32.1061,66.9069,Afghanistan,AF,Zābul,admin,49158,9900
Asadābād,34.8742,71.1528,Afghanistan,AF,Kunaṟ,admin,48400,48400
Maīdān Shahr,34.3972,68.8697,Afghanistan,AF,Wardak,admin,35008,35008
Bāzārak,35.3128,69.5158,Afghanistan,AF,Panjshir,admin,24723,24723
Pul-e ‘Alam,33.9808,69.0350,Afghanistan,AF,Lōgar,admin,22914,22914
Fayrōz Kōh,34.5225,65.2517,Afghanistan,AF,Ghōr,admin,15000,15000
Aībak,36.2653,68.0167,Afghanistan,AF,Samangān,admin,9958,9958
Pārūn,35.4167,70.9169,Afghanistan,AF,Nūristān,admin,1647,1000
Sharan,33.1757,68.7304,Afghanistan,AF,Paktīkā,admin,,
Nīlī,33.7218,66.1302,Afghanistan,AF,Dāykundī,admin,,
Injīl,34.3000,62.2500,Afghanistan,AF,Herāt,minor,,
Ibrāhīm Khān,35.0535,69.2565,Afghanistan,AF,Parwān,minor,,
Mīr Bachah Kōṯ,34.7467,69.1164,Afghanistan,AF,Kābul,minor,,
Nādir Shāh Kōṯ,34.2435,70.7285,Afghanistan,AF,Nangarhār,minor,,
Jabal us Sarāj,35.1183,69.2378,Afghanistan,AF,Parwān,minor,,
Kalakān,34.7808,69.1486,Afghanistan,AF,Kābul,minor,,
Nādir Shāh Kōṯ,33.3066,69.6938,Afghanistan,AF,Khōst,minor,,
Qarah Bāgh Bāzār,34.8529,69.1706,Afghanistan,AF,Kābul,minor,,
